package,type,name,title,max_cols
core,DIVERGING,cm.colors,CM,20
core,SEQUENTIAL,grey.colors,Grey,20
core,SEQUENTIAL,heat.colors,Heat,20
core,QUALITATIVE,rainbow,Rainbow,20
core,DIVERGING,terrain.colors,Terrain,20
core,SEQUENTIAL,topo.colors,Topography,20
brewer,SEQUENTIAL,Blues,Blues,9
brewer,SEQUENTIAL,BuGn,Blue-Green,9
brewer,SEQUENTIAL,BuPu,Blue-Purple,9
brewer,SEQUENTIAL,Greens,Greens,9
brewer,SEQUENTIAL,GnBu,Green-Blue,9
brewer,SEQUENTIAL,Greys,Greys,9
brewer,SEQUENTIAL,Oranges,Oranges,9
brewer,SEQUENTIAL,OrRd,Orange-Red,9
brewer,SEQUENTIAL,Purples,Purples,9
brewer,SEQUENTIAL,PuBu,Purple-Blue,9
brewer,SEQUENTIAL,PuRd,Purple-Red,9
brewer,SEQUENTIAL,PuBuGn,Purple-Blue-Green,9
brewer,SEQUENTIAL,Reds,Reds,9
brewer,SEQUENTIAL,RdPu,Red-Purple,9
brewer,SEQUENTIAL,YlGn,Yellow-Green,9
brewer,SEQUENTIAL,YlGnBu,Yellow-Green-Blue,9
brewer,SEQUENTIAL,YlOrBr,Yellow-Orange-Brown,9
brewer,SEQUENTIAL,YlOrRd,Yellow-Orange-Red,9
brewer,DIVERGING,BrBG,Brown-Blue-Green,11
brewer,DIVERGING,PuOr,Orange-Purple,11
brewer,DIVERGING,PiYG,Pink-Blue-Green,11
brewer,DIVERGING,PRGn,Purple-Red-Green,11
brewer,DIVERGING,RdBu,Red-Blue,11
brewer,DIVERGING,RdGy,Red-Grey,11
brewer,DIVERGING,RdYlBu,Red-Yellow-Blue,11
brewer,DIVERGING,RdYlGn,Red-Yellow-Green,11
brewer,DIVERGING,Spectral,Spectral,11
brewer,QUALITATIVE,Accent,Accent,8
brewer,QUALITATIVE,Dark2,Dark2,8
brewer,QUALITATIVE,Paired,Paired,12
brewer,QUALITATIVE,Pastel1,Pastel1,9
brewer,QUALITATIVE,Pastel2,Pastel2,8
brewer,QUALITATIVE,Set1,Set1,9
brewer,QUALITATIVE,Set2,Set2,8
brewer,QUALITATIVE,Set3,Set3,12
carto,DIVERGING,ArmyRose,Army Rose,7
carto,DIVERGING,Earth,Earth,7
carto,DIVERGING,Fall,Fall,7
carto,DIVERGING,Geyser,Geyser,7
carto,DIVERGING,TealRose,Teal Rose,7
carto,DIVERGING,Temps,Temps,7
carto,DIVERGING,Tropic,Tropic,7
carto,QUALITATIVE,Antique,Antique,12
carto,QUALITATIVE,Bold,Bold,12
carto,QUALITATIVE,Pastel,Pastel,12
carto,QUALITATIVE,Prism,Prism,12
carto,QUALITATIVE,Safe,Safe,12
carto,QUALITATIVE,Vivid,Vivid,12
carto,SEQUENTIAL,BluGrn,Blu-Green,7
carto,SEQUENTIAL,BluYl,Blu-Yellow,7
carto,SEQUENTIAL,BrwnYl,Brown-Yellow,7
carto,SEQUENTIAL,Burg,Burgundi,7
carto,SEQUENTIAL,BurgYl,Burgundi-Yellow,7
carto,SEQUENTIAL,DarkMint,Dark Mint,7
carto,SEQUENTIAL,Emrld,Emrld,7
carto,SEQUENTIAL,ag_GrnYl,Green-Yellow,7
carto,SEQUENTIAL,Magenta,Magenta,7
carto,SEQUENTIAL,Mint,Mint,7
carto,SEQUENTIAL,OrYel,Orange-Yellow,7
carto,SEQUENTIAL,Peach,Peach,7
carto,SEQUENTIAL,PinkYl,Pink-Yellow,7
carto,SEQUENTIAL,Purp,Purple,7
carto,SEQUENTIAL,PurpOr,Purple-Orange,7
carto,SEQUENTIAL,RedOr,Red-Orange,7
carto,SEQUENTIAL,ag_Sunset,Sunset,7
carto,SEQUENTIAL,Sunset,Sunset,7
carto,SEQUENTIAL,SunsetDark,Sunset Dark,7
carto,SEQUENTIAL,Teal,Teal,7
carto,SEQUENTIAL,TealGrn,Teal-Green,7
cartography,SEQUENTIAL,blue.pal,Blue,20
cartography,SEQUENTIAL,brown.pal,Brown,20
cartography,SEQUENTIAL,green.pal,Green,20
cartography,SEQUENTIAL,grey.pal,Grey,20
cartography,SEQUENTIAL,harmo.pal,Harmo,20
cartography,SEQUENTIAL,kaki.pal,Kaki,20
cartography,SEQUENTIAL,orange.pal,Orange,20
cartography,SEQUENTIAL,pink.pal,Pink,20
cartography,SEQUENTIAL,purple.pal,Purple,20
cartography,SEQUENTIAL,red.pal,Red,20
cartography,SEQUENTIAL,sand.pal,Sand,20
cartography,SEQUENTIAL,taupe.pal,Taupe,20
cartography,SEQUENTIAL,turquoise.pal,Turquoise,20
cartography,SEQUENTIAL,wine.pal,Wine,20
cartography,QUALITATIVE,pastel.pal,Pastel,20
cartography,QUALITATIVE,multi.pal,Multi,20
dichromat,,BluetoDarkOrange.18,Blue-DarkOrange,18
